a=00110100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110100, sa=0, s=0, e=1, bus wire=00110101
a=00110101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110101, sa=0, s=0, e=1, bus wire=00110110
a=00110110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110110, sa=0, s=0, e=1, bus wire=00110111
a=00110111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110111, sa=0, s=0, e=1, bus wire=00111000
a=00111000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111000, sa=0, s=0, e=1, bus wire=00111001
a=00111001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111001, sa=0, s=0, e=1, bus wire=00111010
a=00111010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111010, sa=0, s=0, e=1, bus wire=00111011
a=00111011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111011, sa=0, s=0, e=1, bus wire=00111100
a=00111100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111100, sa=0, s=0, e=1, bus wire=00111101
a=00111101, sa=0, s=0, e=0, bus wire=zzzzzzzz
